Pearson Correlation,ID OOD Alignment,Percentage OOD retained,Stem,Spatial Reduction,CNN vs ViT,Augmentations,Resolution,ID Class Count,OverParam. Level,Depth
0.96,0.252,88.08,3,0.5,CNN,0,32,100,74.67104484,11
0.93,0.074,75.39,3,0.5,CNN,0,32,100,74.67104484,11
0.85,0.086,65.28,3,0.5,CNN,0,32,100,74.67104484,11
0.85,0.077,59.32,3,0.5,CNN,0,32,100,74.67104484,11
0.87,0.201,69.1,3,0.5,CNN,0,32,100,74.67104484,11
0.92,0.214,84.06,3,0.5,CNN,0,32,100,74.67104484,11
0.98,0.187,94.85,3,0.5,CNN,0,32,100,74.67104484,11
0.95,0.297,92.95,3,0.5,CNN,0,32,100,74.67104484,11
0.92,0.446,89.55,3,0.5,CNN,0,224,100,74.67104484,11
0.97,0.142,87.97,3,0.5,CNN,0,224,100,74.67104484,11
0.86,0.133,75.4,3,0.5,CNN,0,224,100,74.67104484,11
0.88,0.128,82.93,3,0.5,CNN,0,224,100,74.67104484,11
0.81,0.314,64.46,3,0.5,CNN,0,224,100,74.67104484,11
0.92,0.288,87.2,3,0.5,CNN,0,224,100,74.67104484,11
0.99,0.469,100,3,0.5,CNN,0,224,100,74.67104484,11
0.96,0.519,98.12,3,0.5,CNN,0,224,100,74.67104484,11
0.97,0.379,98,3,0.5,CNN,2,32,100,74.67104484,11
0.95,0.113,90.59,3,0.5,CNN,2,32,100,74.67104484,11
0.94,0.160,81.52,3,0.5,CNN,2,32,100,74.67104484,11
0.78,0.084,56.16,3,0.5,CNN,2,32,100,74.67104484,11
0.93,0.345,86.49,3,0.5,CNN,2,32,100,74.67104484,11
0.92,0.290,87.4,3,0.5,CNN,2,32,100,74.67104484,11
0.99,0.293,97.91,3,0.5,CNN,2,32,100,74.67104484,11
0.97,0.416,97.42,3,0.5,CNN,2,32,100,74.67104484,11
0.96,0.549,96.73,3,0.5,CNN,2,224,100,74.67104484,11
0.99,0.188,100,3,0.5,CNN,2,224,100,74.67104484,11
0.98,0.260,95.56,3,0.5,CNN,2,224,100,74.67104484,11
0.95,0.220,99.79,3,0.5,CNN,2,224,100,74.67104484,11
0.95,0.554,92.66,3,0.5,CNN,2,224,100,74.67104484,11
0.97,0.398,96.13,3,0.5,CNN,2,224,100,74.67104484,11
0.99,0.520,100,3,0.5,CNN,2,224,100,74.67104484,11
0.97,0.601,100,3,0.5,CNN,2,224,100,74.67104484,11
0.62,0.154,57.45,3,0.5,CNN,0,32,100,158.49837,17
0.61,0.040,44.58,3,0.5,CNN,0,32,100,158.49837,17
0.38,0.033,25.94,3,0.5,CNN,0,32,100,158.49837,17
0.38,0.015,15.15,3,0.5,CNN,0,32,100,158.49837,17
0.35,0.071,27.67,3,0.5,CNN,0,32,100,158.49837,17
0.55,0.118,47.69,3,0.5,CNN,0,32,100,158.49837,17
0.88,0.129,67.06,3,0.5,CNN,0,32,100,158.49837,17
0.86,0.256,83.65,3,0.5,CNN,0,32,100,158.49837,17
0.84,0.387,75.19,3,0.5,CNN,0,224,100,158.49837,17
0.92,0.135,72.78,3,0.5,CNN,0,224,100,158.49837,17
0.69,0.092,44.22,3,0.5,CNN,0,224,100,158.49837,17
0.66,0.067,32.02,3,0.5,CNN,0,224,100,158.49837,17
0.62,0.198,36.2,3,0.5,CNN,0,224,100,158.49837,17
0.84,0.247,70.23,3,0.5,CNN,0,224,100,158.49837,17
0.97,0.399,84.27,3,0.5,CNN,0,224,100,158.49837,17
0.95,0.537,95.73,3,0.5,CNN,0,224,100,158.49837,17
0.85,0.333,83.53,3,0.5,CNN,2,32,100,158.49837,17
0.62,0.075,55.7,3,0.5,CNN,2,32,100,158.49837,17
0.60,0.103,48.92,3,0.5,CNN,2,32,100,158.49837,17
0.30,0.045,31.89,3,0.5,CNN,2,32,100,158.49837,17
0.64,0.258,61.96,3,0.5,CNN,2,32,100,158.49837,17
0.62,0.233,65.06,3,0.5,CNN,2,32,100,158.49837,17
0.97,0.284,87.63,3,0.5,CNN,2,32,100,158.49837,17
0.93,0.417,93.28,3,0.5,CNN,2,32,100,158.49837,17
0.95,0.593,98.02,3,0.5,CNN,2,224,100,158.49837,17
0.97,0.187,87.66,3,0.5,CNN,2,224,100,158.49837,17
0.94,0.238,80.94,3,0.5,CNN,2,224,100,158.49837,17
0.86,0.183,71.37,3,0.5,CNN,2,224,100,158.49837,17
0.91,0.534,83.31,3,0.5,CNN,2,224,100,158.49837,17
0.95,0.418,91.74,3,0.5,CNN,2,224,100,158.49837,17
0.99,0.568,100,3,0.5,CNN,2,224,100,158.49837,17
0.96,0.638,99.42,3,0.5,CNN,2,224,100,158.49837,17
0.83,0.076,49.91,7,0.25,CNN,0,32,100,88.56333225,18
0.76,0.017,36.35,7,0.25,CNN,0,32,100,88.56333225,18
0.69,0.013,19.74,7,0.25,CNN,0,32,100,88.56333225,18
